표제,편/권차,저 자,낱권 ISBN,낱권 부가기호,세트 ISBN,세트 부가기호,CIP 제어번호,판차,총서 표제,총서 편차,가격,발행일(예정),발행처,한국십진분류,듀이십진분류,납본여부,출판사홈페이지
범죄학,,지은이: 이윤호,979-11-303-1140-1,93350?,,,,증보판,,,29000,20210110,박영사,,,미납본,http://www.pybook.co.kr
올라 범죄학,,저자: 홍민지,978-89-6479-512-5,13350?,,,,,,,18000,20210104,Fides,,,미납본,
분기별 범죄동향 리포트(2020년 3분기),,저자 : 김민영,979-11-89908-67-6,93330?,,,,,,,비매품/무료,20210104,한국형사정책연구원,,,미납본,http://www.kic.re.kr
[전자책 코믹스 연재] 제자에게 협박당하는 것은 범죄인가요?,,저자 : 카와세미 마키코,979-11-6611-041-2,05830?,,,,,,,연재가,20201231,(주)소미미디어,,,미납본,
[전자책 세트] 제자에게 협박당하는 것은 범죄인가요?,,저자 : 사가라 소우,,,979-11-6507-689-4,05830?,,,,,세트가미정,20201231,(주)소미미디어,,,미납본,
[종이책] 제자에게 협박당하는 것은 범죄인가요? 3,,저자 : 사가라 소우,979-11-6507-690-0,05830?,979-11-6507-689-4,05830?,,,[전자책 세트] 제자에게 협박당하는 것은 범죄인가요?,,"5,000",20201231,(주)소미미디어,,,미납본,
국제범죄방지를 위한 UN·국제협력 및 연구(XVI) : UN 및 지역협력 네트워크 구축사업,,저자 : 윤정숙 강태경 나주원 정세윤,979-11-89908-97-3,93330?,,,,,,,"7,000",20201231,한국형사정책연구원,,,미납본,http://www.kic.re.kr
국제범죄방지를 위한 UN ·국제협력 및 연구(XVI) : 총괄보고서,,저자 : 윤정숙 강태경 조영오 이승진 나주원 정세윤 강민정 심인식 김석범,979-11-89908-96-6,93330?,,,,,,,"7,000",20201231,한국형사정책연구원,,,미납본,http://www.kic.re.kr
국제범죄방지를 위한 UN·국제협력 및 연구(XVI) : VFAC 리뉴얼 사업,,저자 : 강태경 정세윤 유효은,979-11-89908-87-4,93330?,,,,,,,"7,000",20201231,한국형사정책연구원,,,미납본,http://www.kic.re.kr
사이버 범죄 수사,,저자 : 김용호,979-11-303-6741-5,95350?,,,,,,,"9,800",20201231,(주)박영사,,,미납본,http://www.pybook.co.kr
국제범죄방지를 위한 UN·국제협력 및 연구(XVI) : 연구성과의 국제적 확산사업,,저자 : 윤정숙 조영오 이승진 강민정,979-11-91565-01-0,93330?,,,,,,,"7,000",20201231,한국형사정책연구원,,,미납본,http://www.kic.re.kr
국제범죄방지를 위한 UN·국제협력 및 연구(XVI) : 영문저널 International Journal of Criminal Justice 발간사업,,저자 : 조영오 이승진,979-11-91565-00-3,93330?,,,,,,,"7,000",20201231,한국형사정책연구원,,,미납본,http://www.kic.re.kr
전국범죄피해조사(X) : 범죄피해조사 방법론 연구,,저자 : 박성훈 김민영 조성현 박희정 조경호 김영원 박민규 박철현 이명진 임석순 엄효진 장안식 최형아,979-11-89908-82-9,93330?,,,,,,,"15,000",20201231,한국형사정책연구원,,,미납본,http://www.kic.re.kr
반인권적 국가범죄의 법적 쟁점과 입법론적 대안,,저자 : 박경규 김성규 김재윤,979-11-89908-76-8,93330?,,,,,,,"10,000",20201231,한국형사정책연구원,,,미납본,http://www.kic.re.kr
범죄통계DB 구축사업(XV),,저자 : 박형민 연성진 박희정,979-11-89908-80-5,93330?,,,,,,,"10,000",20201231,한국형사정책연구원,,,미납본,http://www.kic.re.kr
행정기관의 범죄조사권 현황분석 및 개선방안 연구,,저자 : 이천현 이권철 이정민 이주희,979-11-89908-77-5,93330?,,,,,,,"10,000",20201231,한국형사정책연구원,,,미납본,http://www.kic.re.kr
1인가구 밀집지역의 범죄예방환경설계 가이드라인,,저자 : 손동필 현태환 박유나,979-11-5659-306-5,93540?,,,,,,,비매품/무료,20201231,건축공간연구원,,,미납본,http://www.auri.re.kr
여성범죄예방 인프라 구축사업의 효과성 분석,,"연구책임: 손동필 연구진: 현태환,박유나",979-11-5659-300-3,93540?,,,,,,,10000,20201231,건축공간연구원,,,미납본,http://www.auri.re.kr
한국형 범죄예방환경설계를 위한 장소프로파일링 기법 개발 연구,,"연구책임: 박유나 연구진: 손동필,현태환 외부연구진: 강현수",979-11-5659-291-4,93540?,,,,,,,17000,20201231,건축공간연구원,,,미납본,http://www.auri.re.kr
현대 한국의 범죄와 형벌,,심희기 노성호 박혜진 김용수 이강민 윤지영 박다정 김연수 권창국 안성훈 전지연 김정환 박종승 김형국 이인영,979-11-303-3696-1,93360?,,,,제3판,,,28000,20201230,박영사,,,미납본,http://www.pybook.co.kr
범죄수사실무론,,저자 : 유재두,979-11-303-1120-3,93350?,,,,제3판,,,"35,000",20201230,(주)박영사,,,미납본,http://www.pybook.co.kr
전쟁범죄·일본군'위안부' 피해실태 자료집,,둥북아역사재단 편 편찬책임자: 김정현 번역자: 심경란,978-89-6187-607-0,93910?,,,,,,,22000,20201230,동북아역사재단,,,미납본,http://www.nahf.or.kr
경찰 성범죄 대응 가이드,,저자 : 주성훈,979-11-973096-3-2,13000?,,,,,,,비매품/무료,20201228,경찰청,,,미납본,
(2021년판)범죄수사규칙,,저자 : 신현덕 윤흥희,978-89-7535-905-7,95360?,,,,,,,180000,20201214,법문북스,,,미납본,http://www.law.co.kr
(2021년판)여성·청소년범죄 수사실무총서,,저자 : 박태곤,978-89-7535-903-3,95350?,,,,,,,160000,20201214,법문북스,,,미납본,http://www.law.co.kr
디지털 성범죄 해체하기,,저자 : 여성가족부 .한국양성평등교육진흥원 .한국사이버성폭력대응센터,979-11-290-1920-2,95330?,,,,,,,"10,000",20201211,진한엠앤비,,,미납본,http://www.jinhanbook.co.kr/
네덜란드군 정보국(NEFIS) 문서(3),,저자 : 국사편찬위원회,978-89-8236-781-6,94910?,978-89-8236-713-7,94910?,,,일본군 &#039위안부&#039.전쟁범죄 자료집,8,비매품/무료,20201210,국사편찬위원회,,,미납본,http://www.history.go.kr
네덜란드군 정보국(NEFIS) 문서(2),,저자 : 국사편찬위원회,978-89-8236-780-9,94910?,978-89-8236-713-7,94910?,,,일본군 &#039위안부&#039.전쟁범죄 자료집,7,비매품/무료,20201210,국사편찬위원회,,,미납본,http://www.history.go.kr
(여성범죄 전담 형사가 들려주는) 미친놈들에게 당하지 않고 살아남는 법,,저자 : 이회림,979-11-88700-76-9,15510?,,,,,,,"11,000",20201210,청림 Life,,,미납본,
판결문 꼼짝마 64. 당선무효형 대상범죄 범위,,저자 : 법률나무,979-11-284-1815-0,05360?,,,,,,,"9,000",20201201,서울문학,,,미납본,
범죄수사 실무론 개정판 3판,,"유재두 , 박원배 , 김도우 , 박동수",979-11-303-6713-2,95350?,,,,,,,20300,20201130,(주)박영사,,,미납본,http://www.pybook.co.kr
현대 한국의 범죄와 형벌 (형사사법 입문) 개정판 3판,,심희기 외,979-11-303-6663-0,95360?,,,,,,,19600,20201130,(주)박영사,,,미납본,http://www.pybook.co.kr
범죄학 7판,,허경미,979-11-303-6683-8,95350?,,,,,,,21000,20201130,(주)박영사,,,미납본,http://www.pybook.co.kr
연쇄범죄란 무엇인가?,,김복준 지음,979-11-90631-13-6,03330?,,,CIP2020044902?,,,,15000,20201120,우물이 있는 집 :써네스트,334.24,,미납본,http://www.sunest.co.kr
영화 속 범죄 코드를 찾아라,,저자 : 이윤호 삽화가(그림작가) : 박진숙,979-11-85330-93-8,05330?,,,CIP2020044972?,,,0,16000,20201113,(주식회사)퍼시픽 도도,334.24,,미납본,
(연쇄살인사건 프로파일러가 들려주는) 범죄 심리의 재구성,,저자 : 고준채,979-11-5633-374-6,05300?,,,CIP2020044790?,,,,"10,500",20201110,(도서출판)다른,364.45,,미납본,
태어난 게 범죄,,저자 : 트레버 노아,978-89-6051-820-9,05840?,,,CIP2020045870?,,,,"12,000",20201105,부키(주),687.099,,미납본,http://www.bookie.co.kr
분기별 범죄동향 리포트(2020년 2분기),,저자 : 김민영,979-11-89908-63-8,93330?,,,,,,,비매품/무료,20201030,한국형사정책연구원,,,미납본,http://www.kic.re.kr
사이버 범죄 수사,,지은이: 김용호,979-11-303-1107-4,93350?,,,,,,,14000,20201030,박영사,,,미납본,http://www.pybook.co.kr
태어난 게 범죄,,트레버 노아 지음 김준수 옮김,978-89-6051-814-8,03840?,,,CIP2020041550?,,,,16800,20201029,부·키,687.099,,미납본,http://www.bookie.co.kr
