No,자료시점,분류,분류,분류,계,계,계,계,계,계,계,계,계,계
38,2017년,형법범,강력범죄(흉악),방화,"1,358",157,140,82,113,156,149,197,248,116
39,2017년,형법범,강력범죄(흉악),살인,858,67,69,75,94,88,100,126,141,98
40,2017년,형법범,강력범죄(흉악),성폭력,"32,824","3,200","3,296","2,615","2,559","2,651","3,442","4,335","5,303","5,423"
41,2017년,형법범,강력범죄(폭력),공갈,"4,981",187,133,103,486,365,553,733,673,"1,748"
42,2017년,형법범,강력범죄(폭력),상해,"49,376","6,052","5,170","2,995","3,895","3,781","4,606","6,178","10,129","6,570"
43,2017년,형법범,강력범죄(폭력),약취와 유인,216,12,11,13,29,30,41,30,5,45
44,2017년,형법범,강력범죄(폭력),체포와 감금,"1,728",120,137,138,206,183,181,228,246,289
45,2017년,형법범,강력범죄(폭력),"폭력행위등(단체등의구성,활동)",140,5,13,4,4,7,7,17,14,69
46,2017년,형법범,강력범죄(폭력),"폭력행위등(손괴,강요,주거침입등)",843,82,71,49,106,92,82,90,95,176
47,2017년,형법범,강력범죄(폭력),폭행,"165,498","22,343","18,552","9,738","11,575","11,798","14,291","21,375","38,210","17,616"
48,2017년,형법범,강력범죄(폭력),협박,"16,007","1,011",777,"1,108","1,857","1,777","1,982","2,424","2,590","2,481"
49,2018년,형법범,강력범죄(흉악),강도,841,112,135,49,76,68,67,90,98,146
50,2018년,형법범,강력범죄(흉악),방화,"1,478",165,154,106,120,140,188,213,250,142
51,2018년,형법범,강력범죄(흉악),살인,849,65,57,63,91,78,77,133,140,145
52,2018년,형법범,강력범죄(흉악),성폭력,"32,104","3,054","3,250","2,246","2,394","2,615","3,327","4,034","5,086","6,098"
53,2018년,형법범,강력범죄(폭력),공갈,"4,823",154,132,81,396,398,569,656,550,"1,887"
54,2018년,형법범,강력범죄(폭력),상해,"43,666","5,126","4,258","2,669","3,503","3,548","4,084","5,487","8,578","6,413"
55,2018년,형법범,강력범죄(폭력),약취와 유인,199,2,9,14,21,44,35,28,17,29
56,2018년,형법범,강력범죄(폭력),체포와 감금,"1,494",113,102,92,165,140,186,199,194,303
57,2018년,형법범,강력범죄(폭력),"폭력행위등(단체등의구성,활동)",164,11,32,8,0,9,8,18,13,65
58,2018년,형법범,강력범죄(폭력),"폭력행위등(손괴,강요,주거침입등)",769,59,55,44,84,85,86,88,109,159
59,2018년,형법범,강력범죄(폭력),폭행,"164,500","20,672","17,595","9,728","12,137","12,310","14,971","21,459","36,140","19,488"
60,2018년,형법범,강력범죄(폭력),협박,"17,777","1,080",861,"1,117","1,985","1,829","2,137","2,781","2,890","3,097"
61,2019년,형법범,강력범죄(흉악),강도,845,112,133,45,66,75,72,86,112,144
62,2019년,형법범,강력범죄(흉악),방화,"1,345",142,151,102,120,107,168,187,227,141
63,2019년,형법범,강력범죄(흉악),살인,847,49,73,49,86,97,96,110,132,155
64,2019년,형법범,강력범죄(흉악),성폭력,"32,029","3,061","3,332","2,233","2,317","2,539","3,204","3,920","5,048","6,375"
65,2019년,형법범,강력범죄(폭력),공갈,"5,574",159,147,88,465,536,659,683,567,"2,270"
66,2019년,형법범,강력범죄(폭력),상해,"40,306","4,644","3,910","2,462","3,220","3,247","3,933","4,942","7,967","5,981"
67,2019년,형법범,강력범죄(폭력),약취와 유인,260,10,13,17,30,43,48,32,13,54
68,2019년,형법범,강력범죄(폭력),체포와 감금,"1,591",109,126,87,195,207,184,165,208,310
69,2019년,형법범,강력범죄(폭력),"폭력행위등(단체등의구성,활동)",169,10,18,2,13,13,10,12,11,80
70,2019년,형법범,강력범죄(폭력),"폭력행위등(손괴,강요,주거침입등)",853,55,72,42,122,96,95,100,108,163
71,2019년,형법범,강력범죄(폭력),폭행,"161,915","19,898","17,036","9,618","11,964","12,867","15,132","21,178","34,873","19,349"
72,2019년,형법범,강력범죄(폭력),협박,"21,648","1,331","1,050","1,348","2,388","2,328","2,743","3,352","3,477","3,631"
